sid	slurmid	Cores per node	CPU Utilized	CPU Efficiency	Job Wall-clock time	Memory Utilized
v1_40x_15000_A	6381937	52	03:24:21	18.44% of 18:28:28 core-walltime	00:21:19	13.20 GB
v1_40x_100000_C	6381939	52	06:38:00	65.98% of 10:03:12 core-walltime	00:11:36	11.55 GB
v1_40x_30000_B	6381940	52	03:45:21	33.08% of 11:21:12 core-walltime	00:13:06	11.92 GB
v1_40x_15000_C	6381942	52	05:50:26	71.95% of 08:07:04 core-walltime	00:09:22	13.70 GB
v1_40x_30000_C	6381945	52	04:54:42	42.45% of 11:34:12 core-walltime	00:13:21	11.00 GB
v1_40x_50000_B	6381948	52	06:25:10	84.17% of 07:37:36 core-walltime	00:08:48	11.54 GB
v1_40x_100000_A	6381949	52	06:38:09	76.06% of 08:43:28 core-walltime	00:10:04	11.70 GB
v1_40x_50000_A	6381950	52	06:29:34	86.11% of 07:32:24 core-walltime	00:08:42	11.94 GB
v1_40x_30000_A	6381955	52	06:03:18	79.09% of 07:39:20 core-walltime	00:08:50	12.09 GB
v1_40x_50000_C	6381956	52	06:21:06	85.05% of 07:28:04 core-walltime	00:08:37	11.30 GB
v1_40x_15000_B	6381958	52	05:32:32	69.01% of 08:01:52 core-walltime	00:09:16	13.87 GB
v1_40x_100000_B	6381960	52	06:35:47	82.14% of 08:01:52 core-walltime	00:09:16	11.83 GB
